id,author,commit_year,commits_count
172,Tim Graham,2017,373
232,Sergey Fedoseev,2017,158
2172,Mariusz Felisiak,2017,113
1917,Claude Paroz,2017,102
101,Mads Jensen,2017,55
354,Simon Charette,2017,40
1935,Jon Dufresne,2017,33
176,Anton Samarchyan,2017,27
284,François Freitag,2017,17
65,Srinivas Reddy Thatiparthy,2017,14
352,Tom,2017,13
1460,Adam Johnson,2017,13
1545,Nick Pope,2017,12
337,Florian Apolloner,2017,11
2068,Josh Schneier,2017,10
1814,Chris Lamb,2017,8
212,Vytis Banaitis,2017,8
299,Дилян Палаузов,2017,7
1130,chillaranand,2017,7
1898,Paulo,2017,7
2234,Ed Morley,2017,6
1573,Johannes Hoppe,2017,5
1197,Markus Holtermann,2017,5
1763,Paolo Melchiorre,2017,5
2114,Collin Anderson,2017,5
1731,Daniel Wiesmann,2017,4
2041,Berker Peksag,2017,4
581,Ingo Klöcker,2017,4
70,Botond Beres,2017,4
861,Josh Smeaton,2017,4
308,Adonys Alea Boffill,2017,3
345,shanghui,2017,3
1799,kapil garg,2017,3
913,Raphael Michel,2017,3
270,orf,2017,3
126,David Sanders,2017,3
988,Adam Chainz,2017,3
985,Nicolas Delaby,2017,3
1333,Jonas Haag,2017,3
982,Simon Meers,2017,3
1338,Matthew Schinckel,2017,3
574,Samir Shah,2017,3
2147,Aymeric Augustin,2017,3
1688,Flávio Juvenal,2017,3
2171,David Szotten,2017,3
761,Anssi Kääriäinen,2017,3
194,Ran Benita,2017,3
616,Chandrakant Kumar,2017,2
2271,Chillar Anand,2017,2
1890,Timothy Allen,2017,2
1492,Michiel Beijen,2017,2
1882,Alexander Allakhverdiyev,2017,2
1402,Daniel Tao,2017,2
847,Lucas Connors,2017,2
605,Evan Grim,2017,2
575,ClairePhila,2017,2
2015,Ling-Xiao Yang,2017,2
1459,Pavel Kulikov,2017,2
980,Asif Saifuddin Auvi,2017,2
690,Carlton Gibson,2017,2
2067,Jeremy Satterfield,2017,2
1441,Arne de Laat,2017,2
55,Stefan Schneider,2017,2
2106,Danilo Bargen,2017,2
2001,jkrzy,2017,2
2269,caleb logan,2017,2
295,Jozef,2017,2
642,Daniel F Moisset,2017,2
1329,Alasdair Nicol,2017,2
1358,monotonee,2017,2
1167,Tim Baxter,2017,2
1946,Christoph Schindler,2017,2
1740,Tomer Chachamu,2017,2
1102,Jonatas CD,2017,2
2080,Boris Burkov,2017,2
1247,Marten Kenbeek,2017,2
962,elky,2017,2
1738,Bo Marchman,2017,2
1577,Windson yang,2017,2
159,kalombo,2017,2
2032,Bruno Alla,2017,2
557,Manatsawin Hanmongkolchai,2017,2
495,Yusuke Miyazaki,2017,2
1871,Ville Skyttä,2017,2
1539,Peter Inglesby,2017,2
1084,Arkadiusz Adamski,2017,2
241,Rajesh Veeranki,2017,2
1878,Rachel Tobin,2017,2
1626,Charlie Denton,2017,2
430,albertoconnor,2017,1
2235,Alex,2017,1
727,Stefan Sinca,2017,1
2194,Sævar Öfjörð Magnússon,2017,1
1467,Yan Mitrofanov,2017,1
2231,Raphael Merx,2017,1
447,Stefan Wehrmeyer,2017,1
1767,Sami J. Lehtinen,2017,1
854,tk,2017,1
452,Krzysztof Nazarewski,2017,1
714,Derrick Jackson,2017,1
456,Eneko Illarramendi,2017,1
711,Sebastian Sassi,2017,1
458,Frédéric Massart,2017,1
1070,Paul Tiplady,2017,1
1485,Aleksej Manaev,2017,1
1762,Ryan O’Hara,2017,1
709,Nick,2017,1
2229,Jinank Jain,2017,1
708,Grzegorz Tężycki,2017,1
1223,Dmitry Dygalo,2017,1
1736,Tim Schneider,2017,1
477,michaldabski,2017,1
705,Laura,2017,1
1733,Levi Payne,2017,1
2166,jannh,2017,1
1728,R3turnz,2017,1
848,Bae KwonHan,2017,1
1490,Hyunwoo Park,2017,1
2125,Jirka Schäfer,2017,1
1726,Adit Biswas,2017,1
698,Thomas Schorr,2017,1
1724,Jkrzy,2017,1
697,Lex Berezhny,2017,1
1497,Michael,2017,1
501,Pavel Karateev,2017,1
693,Joe Arthur,2017,1
1322,amalia,2017,1
912,Michał Pasternak,2017,1
1174,Daniel Hahler,2017,1
2313,bc500,2017,1
1692,Roman Selivanov,2017,1
683,Mike Hansen,2017,1
2113,Martin von Gagern,2017,1
842,Pavlo Kapyshin,2017,1
1503,Subhrajyoti Sen,2017,1
166,Duarte Fernandes,2017,1
674,Imran Iqbal,2017,1
1673,Kevin Grinberg,2017,1
531,Joseph Lin,2017,1
1511,Kim DoHyeon,2017,1
1664,Stefano Rivera,2017,1
2211,Jaap Roes,2017,1
539,René Fleschenberg,2017,1
171,kakulukia,2017,1
1525,petedmarsh,2017,1
78,Wil Tan,2017,1
664,John D'Ambrosio,2017,1
835,Nauman Tariq,2017,1
548,Anupam,2017,1
1530,Adi Mukherjee,2017,1
552,Dima Kudosh,2017,1
1540,Romain Garrigues,2017,1
82,Garry Polley,2017,1
560,Miguel,2017,1
1549,Abhishek Gautam,2017,1
2103,Ryan Castner,2017,1
16,Nick Mavrakis,2017,1
85,Tim Heap,2017,1
570,Bjorn Kristinsson,2017,1
571,Collin Stedman,2017,1
2216,Yuri Kaszubowski Lopes,2017,1
2215,Mike Vasiliou,2017,1
1,UmanShahzad,2017,1
582,Dražen Odobašić,2017,1
1615,Riccardo Magliocchetti,2017,1
1211,medmunds,2017,1
591,Alejandro Zamora,2017,1
1604,Lincoln Smith,2017,1
186,Benjamin Bach,2017,1
94,Windsooon,2017,1
596,Alexkane,2017,1
140,jpic,2017,1
631,Tom Forbes,2017,1
607,LBerrocal,2017,1
608,Dmitry,2017,1
2094,aruseni,2017,1
611,Thomas Khyn,2017,1
1584,Lachlan Musicman,2017,1
613,Camilo Nova,2017,1
1583,Christopher Schäpers,2017,1
617,Hunter Richards,2017,1
827,Edward D'Souza,2017,1
2300,Mathieu Hinderyckx,2017,1
1171,Andy Craze,2017,1
1170,Eric Theise,2017,1
2288,Vasiliy Bolshakov,2017,1
897,Niall Dalton,2017,1
2087,Irindu Indeera,2017,1
1291,Jon Ribbens,2017,1
207,Yuichi Fujikawa,2017,1
210,Linus Lewandowski,2017,1
1360,Andrei Fokau,2017,1
215,shinriyo,2017,1
822,Thom Wiggers,2017,1
2287,James Beith,2017,1
1363,Paul,2017,1
820,Andrii Soldatenko,2017,1
229,reficul31,2017,1
1144,InvalidInterrupt,2017,1
2060,andrewnester,2017,1
2056,Mikkel Munch Mortensen,2017,1
2051,Alexey Rogachev,2017,1
1138,Markus Amalthea Magnuson,2017,1
244,João Silva,2017,1
805,Bryan Helmig,2017,1
247,Tobias McNulty,2017,1
804,Raffaele Salmaso,2017,1
144,Dmitry Gladkov,2017,1
119,Sławek Ehlert,2017,1
801,Pavel Rybintsev,2017,1
255,chex,2017,1
1248,hui shang,2017,1
1296,Sudhanshu Mishra,2017,1
991,Robert Rollins,2017,1
875,partizan,2017,1
2009,Igor Tokarev,2017,1
2008,Chronial,2017,1
272,Shai Berger,2017,1
996,Melvyn Sopacua,2017,1
1399,Raúl Pedro Fernandes Santos,2017,1
278,Joon Hwan 김준환,2017,1
127,Dylan Verheul,2017,1
1207,Michael Käufl,2017,1
1964,Romulo Furtado,2017,1
1961,Maciej Jaworski,2017,1
1960,Ondrej Kolimar,2017,1
790,Nerl~,2017,1
1123,james mike dupont,2017,1
1118,heathervm,2017,1
1940,Alexander Kavanaugh,2017,1
1274,Georg Sauthoff,2017,1
307,Matthew Wilkes,2017,1
1009,Adam Alton,2017,1
1112,LeeHanYeong,2017,1
312,Mikhail Golubev,2017,1
941,David D Lowe,2017,1
785,Ian Foote,2017,1
1413,Ryan Verner,2017,1
942,Hasan Ramezani,2017,1
1433,Dmitry Shachnev,2017,1
771,seanfagan,2017,1
769,Nick Zaccardi,2017,1
333,Zoltan Gyarmati,2017,1
1242,jmk,2017,1
338,Mikhail Nacharov,2017,1
871,Maxime Lorant,2017,1
1911,Paulo Alvarado,2017,1
1905,Atul Varma,2017,1
343,Jeremy Kerr,2017,1
1442,Adrien Brunet,2017,1
348,k,2017,1
356,Ionuț Ciocîrlan,2017,1
1888,"Allen, Timothy",2017,1
133,Alexey Opalev,2017,1
755,Matthias Kestenholz,2017,1
1887,Harry Moreno,2017,1
1885,Brad Melin,2017,1
753,Taavi Teska,2017,1
1861,M Somerville,2017,1
373,Luoxzhg,2017,1
1844,ZachLiuGIS,2017,1
750,Luke Plant,2017,1
383,Chris Sinchok,2017,1
384,Tom Carrick,2017,1
2184,Huang Zhiqiang,2017,1
1241,vinay karanam,2017,1
742,Tamas Szabo,2017,1
1830,Tushar Malik,2017,1
1828,Dima Veselov,2017,1
1301,Carles Pina Estany,2017,1
